버래기	넘치도록
강생이	강아지
부각허다	부글부글하다
강알	가랭이
부끄다	부풀어 오르다
개끔	거품
분시몰랑	정황도 모르고
개작개작	밥을 추하게 먹는 모습
삐암데기	뺨
검질	잡초
속슴허라	말하지말라
게미융허다	희미하다
솜쫄르멍	숨말힐듯한 상황 참으면서
게작헌	입이 큰 모양
쉰달이	쉰 밥으로만든 유산식품
고라불켜	고자질한다
심토맥이	마음 씀씀이
곡기다	숨막히다
영	이렇게
골다	잘게부수다
골다	말하다
왁왁허다	캄캄하다
곱지다	숨기다
요망지다	똑똑하다
과랑과랑	햇살이 눈부시게 비추는모습
우영밭	텃밭
괸당	친족
웃뜨리	산간마을
굽	밑바닥
재짝재짝	걷는 모습
기시리다	초벌로 불에 태우다
제라헌	제대로 된
꽝	뼈
조그물다	어떤 결심을 하기위한 다짐
눈물촐래	눈물의 반찬
주레사니	보리피리
니치름	침
촘아가라	어이없다
데껴불켜	던져버린다
칭원허다	원통하다
두렁청허다	얼떨떨하다
콥데사니	마늘
들러켬쩌	날뛰다
코시롱허다	향기가 좋다
듬삭하다	기름기가 넉넉하다
탈	딸기
멜라지켜	찌그러지다
통시	돼지우리가 있는 변소
메기독딱	아무것도 없음
트멍	틈새
모소완	무서워
하근디	이곳저곳
몬뜨글락	홀랑벗은모습
하다	많다
몬직당	만지다가
행글랑이	힘없이 쓰러진 모양
몬짝	전부
허당말타	하다가 안 할 것이냐
몰명허다	멍청하다
헌저글라	빨리가자
몽케다	늦장부리다
호썰	조금
무리다	맛이가다
호야	등
무사	왜?
흐랑허다	축 늘어지다
배롱허다	어둠속에 빛이 희미하다
허운데기	얼굴
배지금허다	고소하다
쪼광	모습
물옷	잠수복
센 바당	거칠고 노한 바다
앞바르	가까운 바다
난바르	먼 바다
산목 졸르면 비온다	한라산의 중턱에 띠같은 구름이 끼면 비가 온다
돌 갓쓰민 우친다	달무리지면 비가 온다
곰새기 들럭 켬져	돌고래가 날뛴다
토끼썼다	황사현상
큰눈	물안경
소살	작살
머정좋다	해산물을 많이 잡았다
제수가 좋다	해산물을 많이 잡았다
궐 면했다	겨우 한두개 잡았다
마당 바랏져	바다가 잔잔하다
큰누	산더미 같은 파도
작은누	작은 파도
절 치대긴다	물결이 친다
하르방 	 할아버지
할망 	 할머니
아방 	아버지
어멍 	 어머니
비바리 	 처녀
괸당 	 친척
걸바시 	 거지
넹바리 	 시집간색시
다슴아돌 	 의붓아들
말젯놈 	 세번째자식
소나이 	 사나이
성님 	 형님
작산 거 	 어른이된 사람
좀녀 	 해녀
촐람생이 	 경솔한사람
홀아방 	 홀아비 
가달 	 다리
꼴랑지 	 꼬리
구뚱배기 	 귀쪽뺨
꽝 	 뼈
굴레 	 입
대망생이 	 머리
등땡이 	 등어리
또꼬망 	 똥구멍
모감지 	 멱살
베 봉탱이 	 배 불뚝이
베아지 볼라불라	 배 밟아버린다
상판이 	 얼굴
야게기 	 목
야굴탁 	 턱
임댕이 	 이마
정겡이 	 종아리
저껭이 	 겨드랑이
조금태기 	간지롭게
좀짐팽이 	 종아리
허운데기 	머리카락
허벅다리 	 넓적다리
놋 	 얼굴
간수메 	 통조림
개역 	 미숫가루
것 	 동물먹이
괴기 	 고기
바당괴기 	 바닷고기
돗괴기 	 돼지고기
쇠괴기 	 쇠고기
도괴기 	 돼지고기
곤떡 	 쌀로만든하얀떡
곤밥 	 흰쌀밥
놈삐 	 무우
대사니김치 	 마늘장아찌
마농 	 마늘
마농 	 파 
조배기 	 메밀수제비
촐래 	 반찬
촘지금 	 참기름
짐치 	 김치
촙쏠 	 찹쌀
조팝 	 조밥
갈옷 	 감물들인옷
갈 적삼 	 감물들인 적삼
갈 중이 	 감물들인 고의
강알터진 바지 	 개구멍 바지
게와 	 호주머니
단취 	 단추
밀랑 페랭이 	 밀짚 모자
보선 	 버선
소중이 	 속옷
신착 	 신짝
찍신 	 짚신
좀뱅이 	 잠방이
등지게 	 감물들인베옷
고장중이 	 고쟁이
도폭 	 우두머니
